customer_id|name|email|phone|address|birth_date|join_date|last_purchase|total_purchases|total_spent|segment
9072a37a-0b94-423c-895a-ec8f5c2ce3a3|Mariana Sousa|ribeiroluiz-miguel@example.com|(084) 4435 3797|Viela de Cavalcante, 55, Indaiá, 15621106 Moura / BA|1974-07-11|2021-03-17|2022-06-11|374|56.16|D
88e04d28-b8b7-4b3a-bae3-3dcbfb7deb08|José Alves|cavalcanteluiz-otavio@example.net|41 5362-7316|Rodovia da Mata, 148, Grota, 27473-382 Silveira das Pedras / MA|1963-02-18|2020-11-26|2022-11-01|486|656.02|C
bb763642-b542-493b-9354-fb5232a2b246|Kevin Dias|joana08@example.net|21 5749-3145|Via de Rezende, 82, Pantanal, 32104972 Nogueira / DF|1995-04-20|2025-04-03|2025-04-22|6|2545.5|C
e01abf23-173a-4764-86fa-81b5f155f16d|Maria Alice Pinto|oporto@example.net|31 4376 2712|Estação Maria Luiza Castro, 92, Santa Tereza, 65742147 da Luz / SE|1979-12-18|2020-07-13|2023-12-13|167|1282.04|B
c6cbca3c-1283-49b8-9b9b-b4feb81d8659|Ana Vitória Fonseca|wsousa@example.com|+55 (081) 2100 2739|Via Silveira, 89, Cidade Nova, 01618-171 Caldeira / CE|1937-04-24|2024-09-19|2025-01-21|77|4826.25|D
51d413b3-15f2-4bf6-80d9-16c08ff65f60|Benicio Nunes|ana-luiza63@example.com|(051) 2817 3299|Vereda de da Costa, 456, Vila Minaslandia, 78967-242 Vasconcelos / AP|1994-05-25|2020-07-26|2021-08-11|165|2429.95|D
b244f88b-0941-42ae-9321-6263e8bdf326|Sra. Evelyn Moreira|ana-juliasales@example.org|(041) 2641-0059|Aeroporto Vasconcelos, 337, São Jorge 2ª Seção, 46521029 da Mota do Campo / RN|1964-09-02|2023-12-24|2024-11-01|8|2220.17|A
bf80401c-c7d9-44f9-b5b6-4c61a4764e55|Dra. Júlia Sousa|piresemanuelly@example.org|+55 (051) 7330 2379|Via Barros, 11, Teixeira Dias, 76922-841 Monteiro / DF|1938-10-24|2020-11-27|2023-03-24|61|2043.87|A
36201c6b-bd26-48fa-abff-98e9e2065714|José Caldeira|silvajulia@example.com|0800-111-2144|Trecho Peixoto, Bela Vitoria, 64867809 Albuquerque / TO|1956-08-03|2024-05-13|2024-05-31|246|188.76|C
e82f0caa-c6a4-4236-ae05-1079377d30f2|Marcela Souza|gustavo75@example.org|31 6371 9336|Estação Almeida, 7, Primeiro De Maio, 42587120 Ramos de Camargo / SP|1936-06-27|2023-06-26|2024-06-08|441|8770.51|B
e33ede95-d1fc-43d5-9554-48aa3c1de0e2|Evelyn Moraes|vmoura@example.org|+55 (071) 3312-4300|Lagoa Henrique Cardoso, Heliopolis, 16928747 Albuquerque / RR|1996-01-06|2023-12-06|2024-01-14|448|6165.13|C
acae7e22-4f21-4291-8525-289ca6d9a375|Erick Sá|barrossophie@example.org|31 4738-0083|Parque Pedro Lucas Alves, 5, Pindura Saia, 14228547 Pinto / MS|1966-03-06|2025-02-24|2025-04-03|497|1431.75|A
1002ad07-4e74-497c-926d-49e99b9c76ec|Rafael Jesus|yborges@example.org|+55 31 1904-5865|Lagoa da Cunha, 66, Milionario, 82165-254 Cavalcante / AP|1936-07-13|2020-10-30|2022-02-23|81|1825.61|C
bed34ad2-ac5a-42c0-a7f5-9552a98bc914|Pedro Lucas Andrade|thomassales@example.org|41 7283-7261|Via Anna Liz Cirino, 211, Pindura Saia, 88245-330 Cavalcanti de Ferreira / PA|2003-08-24|2021-01-21|2023-06-09|397|6667.24|B
6c46d162-1941-4033-800f-c9cbf7d03e92|Sra. Raquel Aparecida|costelacecilia@example.com|+55 61 1109-8710|Fazenda Brenda Rocha, 96, Morro Dos Macacos, 01482-667 Lima / PI|1977-11-01|2024-07-30|2025-02-18|227|2198.68|C
57d72105-4cae-4aa4-948b-ea39bc9565b1|Mariane Moreira|caiofogaca@example.com|31 7202 5935|Pátio Mendes, 687, Alpes, 69747175 da Cunha Paulista / SE|1971-07-14|2023-07-24|2024-03-19|170|2523.63|D
116a6df4-fbdb-4a2c-b0fd-960ed07950e6|Valentina da Cunha|valentim08@example.net|+55 51 3825 8935|Loteamento de Oliveira, 60, Califórnia, 41954147 Duarte / MG|1968-07-25|2020-07-03|2022-03-15|311|7131.67|D
69136913-b1de-46e1-95da-00a1720f35c5|Luiz Henrique Sampaio|rcarvalho@example.org|0500 901 5555|Alameda Diogo Pimenta, 71, Aeroporto, 39668506 Guerra / GO|1994-09-09|2021-06-19|2022-06-10|93|8381.35|D
44e722e4-81f9-4cfe-abf4-3853f1c30ca0|Lavínia da Mata|cpimenta@example.net|(071) 6095-8886|Rodovia Raul Santos, 80, Vila Nova Dos Milionarios, 84327-638 Leão do Amparo / PB|1991-06-07|2021-11-01|2024-09-22|42|2072.56|D
31cb64fc-ab6c-4eec-89ea-040d399a5a15|Maria Isis Cavalcante|kaiquecassiano@example.com|+55 21 2461 5229|Conjunto Esther Sales, 32, Marajó, 27259313 da Rosa / MS|1963-07-12|2021-10-06|2022-10-02|79|317.88|A
8665b774-dd45-4877-8bcd-1fe9fb17a6a1|Cauê Souza|maria-isis95@example.org|+55 61 2262 7509|Setor Lorena Lima, 1, Bandeirantes, 54362-119 Santos / RO|1998-01-12|2020-11-28|2021-01-25|189|6954.83|D
08978458-1f90-4838-88bd-87b14d9b2164|Valentina Araújo|ysales@example.org|(084) 5660-3525|Pátio Ana Julia Cirino, 89, Vila Independencia 3ª Seção, 21104323 Andrade / AP|1962-09-14|2024-02-12|2024-12-21|138|8676.26|C
34d4eb80-cf54-42c7-8687-57079c897a70|Valentina Gonçalves|nathan86@example.org|+55 (071) 8724 6627|Pátio Henrique Nascimento, 36, Alpes, 25122262 Camargo / RR|1975-07-05|2024-08-15|2024-08-17|168|7531.02|B
755df83b-a110-4bf2-ba47-7f72d1e09307|Benjamim Teixeira|julianasa@example.org|+55 (031) 5496-2891|Avenida Helena Pimenta, 1, Ademar Maldonado, 08678920 Caldeira da Prata / GO|1965-12-27|2022-07-02|2023-05-22|394|4423.78|D
d92157d5-5fa1-4fdd-8ad9-4019e6d787d1|Gael Henrique Andrade|josuesales@example.org|0800-898-8522|Travessa Bárbara Aragão, 61, Vila Independencia 2ª Seção, 98639-452 da Mata / DF|1950-09-08|2022-11-04|2025-01-08|127|474.93|D
4c8434d8-9fdc-4239-8cba-4d9fe3c95646|Luísa Câmara|liz97@example.org|+55 31 6365-9064|Alameda de Farias, 88, Jardim Montanhês, 23542-062 Martins / AL|2004-12-21|2021-11-25|2023-02-08|329|9605.13|C
14f4b15c-682c-4574-9286-98ec233df46e|Heitor Costa|marquesjoao-guilherme@example.net|(051) 9447 7617|Rua Silveira, 20, Camponesa 1ª Seção, 44871643 Cassiano da Mata / CE|1953-09-21|2022-03-25|2024-02-29|75|3713.89|B
8084376f-482d-4810-8b78-eacd8a345bda|Marina Fernandes|wabreu@example.net|+55 11 9688 3236|Vereda da Mata, 759, Nova America, 20634-687 Cunha de Casa Grande / PR|1956-02-29|2024-08-16|2025-04-28|263|5777.21|B
70910fa6-024a-4516-b91d-2468016c2bb0|Vinícius Santos|fmarques@example.com|(081) 4518 2448|Ladeira Emanuella Melo, 9, Biquinhas, 93418771 Pereira / PR|1960-05-15|2022-09-19|2024-05-25|150|7949.69|A
03fea005-ec82-4e86-b6f5-93002b987a36|Laís Vieira|lalves@example.org|(031) 4898-2549|Alameda de Barros, 1, Trevo, 85128771 Jesus de Minas / RO|1955-03-28|2025-03-06|2025-03-31|17|1949.73|B
