customer_id|name|email|phone|address|birth_date|join_date|last_purchase|total_purchases|total_spent|segment
ba43ff37-db7c-47f1-9631-c987b3a38b47|Ian Vasconcelos|yurisa@example.com|(041) 1485 9357|Viela da Cunha, 42, Nova Floresta, 85201204 Mendonça / ES|1939-12-13|2022-06-16|2023-04-06|320|6776.29|B
acbc7cf5-e996-4dc0-8b5f-82dc878e68b8|Isabelly da Rosa|milena06@example.com|(011) 2708-8509|Campo das Neves, 3, Conjunto Califórnia I, 80760-551 Moreira / RS|1989-02-14|2022-05-27|2023-12-22|298|6794.46|D
ca0bf218-1160-45f6-b475-faea5dada1aa|Júlia Cavalcante|sampaiobryan@example.net|+55 41 5323-4717|Estação de da Mota, 44, Prado, 87956-652 Moreira / PA|1996-07-21|2022-09-02|2024-06-08|276|3683.31|D
c485eed8-c560-43fd-b9b3-83500c3bcf03|Enzo Gabriel Castro|caua53@example.net|+55 81 1918 9598|Fazenda Viana, 55, Belmonte, 22415988 Pires da Praia / BA|1969-09-24|2023-07-22|2024-12-03|7|8178.7|A
644ec29e-0ebc-43d7-aa30-d8ff5025ea37|Olívia Vieira|gpacheco@example.org|+55 51 0845 7541|Estação de Nunes, 620, Minas Brasil, 21150-694 Freitas do Oeste / RO|1936-12-05|2024-05-19|2024-12-25|353|9185.05|C
43df8bcf-b152-4818-bb6f-8f7fd07f63ca|Anthony Araújo|andradegustavo-henrique@example.net|(061) 4165-9424|Condomínio de Freitas, 90, Vila Coqueiral, 94434-476 Nogueira da Prata / AP|1965-04-28|2020-07-07|2024-11-12|201|4239.64|C
d4213aa9-5511-4e07-8b6b-d94141e605a3|Srta. Ana Júlia Pinto|caua54@example.org|11 0653-2168|Trecho de Carvalho, 23, Nazare, 89397936 Pacheco do Norte / AM|1998-10-13|2023-05-20|2025-02-27|270|893.11|A
ae22615f-af9b-4724-94fd-49373b7623bc|Srta. Ana Clara das Neves|osa@example.com|(011) 7507 0268|Sítio de Melo, Nova Cintra, 00371256 Albuquerque / AC|1977-09-05|2020-07-15|2022-02-20|420|1673.78|C
f564b1ca-eb31-44ad-b385-78fe503b0f42|Sra. Ana Liz Montenegro|mda-paz@example.net|+55 (011) 9387-7384|Lagoa Maria Flor Sousa, 640, São Pedro, 74468178 Mendes / RS|1936-05-19|2021-06-24|2024-09-14|311|273.28|A
b80d32b3-73c6-414f-bda8-dc825595a726|Luana Cardoso|pietropacheco@example.net|(084) 3740 7139|Setor Liz Almeida, 15, Beija Flor, 82609240 Gomes / RN|1935-01-16|2024-01-10|2024-10-16|498|6398.54|C
a22d77e7-7067-4e0a-9016-ecac2779a82a|Isadora Ramos|joao-guilherme87@example.org|84 4363 3554|Feira Theo da Paz, 61, Ventosa, 84882-995 Gonçalves de Vargas / RO|1979-01-04|2023-06-29|2025-01-19|210|7556.44|B
